,MCP2_Flexion,PIP2_Flexion,DIP2_Flexion,MCP3_Flexion,PIP3_Flexion,DIP3_Flexion,MCP4_Flexion,PIP4_Flexion,DIP4_Flexion,MCP5_Flexion,PIP5_Flexion,DIP5_Flexion
260,36.22472533907174,7.746994611709852,1.4237792425787745,21.043435503474,4.55299857122526,6.34340295880034,8.80244019907181,4.102449197511447,3.3892409399573182,8.760801252739583,1.4867543403224488,3.919973111673528
261,32.32268741224101,8.687700992237723,1.8211477953897202,17.184836116881257,3.466286242176892,1.0090665177832818,7.088198452776567,2.7115721398589017,1.2305058730298128,7.843896466003514,1.3019918440808738,4.9212786501622645
262,28.419234012897505,8.415961254357768,2.429657550307496,14.52842487800035,4.411884193282077,2.8509653019922894,5.311232226577829,3.853566170674725,3.4320663561898073,6.966069639007287,3.224096166461095,5.560904317731826
263,26.052360406119647,7.831769166289888,5.664846840152478,13.928742814992205,6.224797356119353,2.5872693119268035,3.97408693099581,5.410432182243142,7.874934162780903,5.850400387170822,7.541549720378981,12.5720984265771
264,25.250935393584058,8.500285362627608,7.299062399313158,15.266092094171967,9.319914105532604,0.8410270650707901,4.051605236483681,4.130441417195215,11.923190200125617,4.451289782814996,10.916213971704195,18.48837850489707
265,25.249241278933084,12.666747264390267,6.243884588278064,17.57953672565617,13.454626461053408,0.8132529775280375,5.963952975870114,0.8234520640000653,13.52882816410289,3.4962708598405356,10.995772386426239,19.155174062556995
266,25.373518216570716,16.966998010284584,5.028934106908935,19.603635018319096,16.471085888437926,1.9497387848519452,9.11214840107857,5.954070583534758,11.92971805651274,3.752905696095951,8.223243417022047,16.784152258263447
267,25.210936572911493,18.087821839611962,5.071211664489482,20.594163524575947,16.974671087659516,4.0225666437253835,12.175107012184299,10.63041683942356,8.187193891111633,5.451862376123557,4.217167373541059,14.115017242946891
268,24.54016845149735,16.549129631649095,6.49623763242667,20.65038305811342,16.21027581232579,5.617152098329171,14.165156288617936,14.004464395482444,4.207415441486717,7.6328596425124715,1.524101478435881,12.405503075352158
269,23.487772758511056,14.313708254398676,7.694983722941743,20.266614181015996,15.834689701733481,5.012521171721318,14.792313288461429,15.78012019560586,1.6562794446601004,8.500110197210347,1.9989491957151415,12.466559396729764
